,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,2.7574381828308105,0.0017421245574951172,2.1178795099258423,0.049283623695373535,1000,1,rbf,"{'classifier__C': 1000, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
1,2.6782307624816895,0.04726552963256836,2.0581727027893066,0.01248788833618164,1000,1,linear,"{'classifier__C': 1000, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.22,0.24,0.22999999999999998,0.009999999999999995,29
2,2.7432453632354736,0.010140419006347656,2.1405837535858154,0.008660078048706055,1000,0.1,rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
3,2.946523904800415,0.12054085731506348,2.603033185005188,0.12368500232696533,1000,0.1,linear,"{'classifier__C': 1000, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.24,0.16,0.2,0.039999999999999994,44
4,3.195473790168762,0.07534778118133545,2.8229618072509766,0.5116732120513916,1000,0.01,rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.3,0.28,0.29000000000000004,0.009999999999999981,5
5,3.0113625526428223,0.01580500602722168,2.3757494688034058,0.027759671211242676,1000,0.01,linear,"{'classifier__C': 1000, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.2,0.16,0.18,0.020000000000000004,48
6,3.227909207344055,0.35217082500457764,2.464348554611206,0.11906576156616211,1000,0.001,rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.26,0.36,0.31,0.04999999999999999,3
7,3.3993078470230103,0.2140737771987915,2.7002360820770264,0.043685197830200195,1000,0.001,linear,"{'classifier__C': 1000, 'classifier__gamma': 0.001, 'classifier__kernel': 'linear'}",0.18,0.2,0.19,0.010000000000000009,47
8,3.2919429540634155,0.17265594005584717,2.580371141433716,0.013144731521606445,1000,0.0001,rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.32,0.26,0.29000000000000004,0.03,5
9,3.085580348968506,0.07502102851867676,2.8687533140182495,0.25141751766204834,1000,0.0001,linear,"{'classifier__C': 1000, 'classifier__gamma': 0.0001, 'classifier__kernel': 'linear'}",0.22,0.2,0.21000000000000002,0.009999999999999995,36
10,2.7199459075927734,0.12658357620239258,2.326676607131958,0.09702038764953613,0.1,1,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
11,3.31312096118927,0.018455862998962402,2.51957368850708,0.09820032119750977,0.1,1,linear,"{'classifier__C': 0.1, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.22,0.2,0.21000000000000002,0.009999999999999995,36
12,2.950479745864868,0.05202794075012207,2.3119683265686035,0.06830716133117676,0.1,0.1,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
13,3.1149646043777466,0.1503671407699585,2.182658076286316,0.00914919376373291,0.1,0.1,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.12,0.18,0.15,0.03,50
14,2.7008092403411865,0.015826702117919922,2.268692135810852,0.10970175266265869,0.1,0.01,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
15,3.509221911430359,0.7536324262619019,2.653321862220764,0.30299603939056396,0.1,0.01,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.24,0.2,0.22,0.01999999999999999,30
16,4.184409260749817,0.40763819217681885,3.2532135248184204,0.19134175777435303,0.1,0.001,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
17,3.6663049459457397,0.4300328493118286,2.830934524536133,0.5348002910614014,0.1,0.001,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'linear'}",0.24,0.18,0.21,0.03,43
18,3.0745800733566284,0.08326494693756104,2.2871131896972656,0.16498780250549316,0.1,0.0001,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
19,2.78808331489563,0.09643697738647461,2.178282618522644,0.1335843801498413,0.1,0.0001,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.0001, 'classifier__kernel': 'linear'}",0.24,0.2,0.22,0.01999999999999999,30
20,2.5413100719451904,0.013010501861572266,2.168616533279419,0.054021358489990234,10,1,rbf,"{'classifier__C': 10, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
21,2.8606715202331543,0.03887629508972168,2.1175973415374756,0.01739335060119629,10,1,linear,"{'classifier__C': 10, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.24,0.16,0.2,0.039999999999999994,44
22,2.623386859893799,0.16712188720703125,2.153255581855774,0.01627981662750244,10,0.1,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
23,2.729450225830078,0.08558893203735352,2.078765392303467,0.0627598762512207,10,0.1,linear,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.22,0.22,0.22,0.0,30
24,3.151754856109619,0.20508146286010742,2.6661040782928467,0.17276430130004883,10,0.01,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
25,3.1831613779067993,0.06385219097137451,2.471014142036438,0.012254834175109863,10,0.01,linear,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.22,0.2,0.21000000000000002,0.009999999999999995,36
26,2.9413177967071533,0.03716301918029785,2.4030232429504395,0.144303560256958,10,0.001,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.26,0.28,0.27,0.010000000000000009,22
27,2.830405831336975,0.04009735584259033,2.2184442281723022,0.05273640155792236,10,0.001,linear,"{'classifier__C': 10, 'classifier__gamma': 0.001, 'classifier__kernel': 'linear'}",0.2,0.22,0.21000000000000002,0.009999999999999995,36
28,2.584483504295349,0.03558933734893799,2.269114851951599,0.01970374584197998,10,0.0001,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.34,0.26,0.30000000000000004,0.04000000000000001,4
29,2.8542518615722656,0.17186903953552246,2.2343380451202393,0.06311988830566406,10,0.0001,linear,"{'classifier__C': 10, 'classifier__gamma': 0.0001, 'classifier__kernel': 'linear'}",0.26,0.18,0.22,0.04000000000000001,30
30,3.070127487182617,0.16567468643188477,2.361753821372986,0.014542222023010254,100,1,rbf,"{'classifier__C': 100, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
31,3.1856876611709595,0.13092577457427979,2.4931938648223877,0.07498717308044434,100,1,linear,"{'classifier__C': 100, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.2,0.22,0.21000000000000002,0.009999999999999995,36
32,2.6710479259490967,0.07011198997497559,2.228417158126831,0.010043144226074219,100,0.1,rbf,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
33,2.865055203437805,0.05731189250946045,2.1750766038894653,0.14803659915924072,100,0.1,linear,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.22,0.22,0.22,0.0,30
34,2.7243497371673584,0.07203793525695801,2.627042055130005,0.41741037368774414,100,0.01,rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.26,0.28,0.27,0.010000000000000009,22
35,3.6026642322540283,0.1605238914489746,2.664531707763672,0.23367023468017578,100,0.01,linear,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.2,0.16,0.18,0.020000000000000004,48
36,2.6359795331954956,0.24139106273651123,2.197327136993408,0.10596489906311035,100,0.001,rbf,"{'classifier__C': 100, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.28,0.38,0.33,0.04999999999999999,2
37,2.8042545318603516,0.31275153160095215,2.4385544061660767,0.06306111812591553,100,0.001,linear,"{'classifier__C': 100, 'classifier__gamma': 0.001, 'classifier__kernel': 'linear'}",0.22,0.22,0.22,0.0,30
38,3.002295732498169,0.34783387184143066,2.3388203382492065,0.12820017337799072,100,0.0001,rbf,"{'classifier__C': 100, 'classifier__gamma': 0.0001, 'classifier__kernel': 'rbf'}",0.26,0.3,0.28,0.01999999999999999,7
39,3.5036720037460327,0.06310713291168213,2.6677749156951904,0.15111303329467773,100,0.0001,linear,"{'classifier__C': 100, 'classifier__gamma': 0.0001, 'classifier__kernel': 'linear'}",0.26,0.22,0.24,0.020000000000000004,27
40,3.376123785972595,0.30726420879364014,2.7505029439926147,0.2952989339828491,1,1,rbf,"{'classifier__C': 1, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
41,3.172597289085388,0.06573951244354248,2.4351507425308228,0.14297258853912354,1,1,linear,"{'classifier__C': 1, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.2,0.22,0.21000000000000002,0.009999999999999995,36
42,2.848346710205078,0.011467933654785156,2.2326838970184326,0.0746309757232666,1,0.1,rbf,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.28,0.28,0.28,0.0,7
43,2.9676167964935303,0.355989933013916,2.2513052225112915,0.10150754451751709,1,0.1,linear,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.26,0.2,0.23,0.03,28
44,2.8421844244003296,0.008446097373962402,2.461558222770691,0.2426825761795044,1,0.01,rbf,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.26,0.28,0.27,0.010000000000000009,22
45,3.486573815345764,0.3689779043197632,2.3839282989501953,0.07851815223693848,1,0.01,linear,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.2,0.22,0.21000000000000002,0.009999999999999995,36
